Unnamed: 0;LONGITUDE;LATITUDE;Climatologia-Mensal;JANEIRO;FEVEREIRO;MARÇO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;mai/01;DESVIO DE MAIO/2001
52;-36,3045;-9,58353; Maribondo;44,4;57,1;85,2;133,2;163,3;201,6;185,7;119,1;66,5;40,7;25,2;28,7;28,0;-135,3
53;-37,7323;-9,11824; Mata Grande;49,1;52,5;76,6;62,8;67,9;76,1;80,1;42,9;21,3;15,3;18,3;34,2;4,5;-63,4
54;-35,5243;-9,15437; Matriz de Camaragibe;72,7;87,0;136,8;181,2;217,6;253,6;240,0;157,9;82,9;54,4;42,2;39,7;27,8;-189,8
55;-35,8392;-9,39384; Messias;61,1;73,8;108,0;170,2;212,6;246,2;238,5;155,7;84,0;54,1;37,2;34,3;32,9;-179,7
56;-36,8696;-9,31236; Minador do Negrão;39,0;47,1;63,5;79,8;100,8;116,4;110,3;69,7;35,7;23,9;16,2;27,4;7,9;-92,9
57;-37,2505;-9,60357; Monteirópolis;40,2;38,8;58,2;62,4;86,0;94,9;92,2;54,6;29,5;20,1;16,5;23,0;8,2;-77,8
58;-35,9428;-9,30682; Murici;57,4;69,4;101,2;156,0;196,0;234,6;228,0;152,5;78,9;49,6;33,8;32,7;28,8;-167,2
59;-35,664;-8,94191; Novo Lino;72,4;83,6;130,8;169,1;203,2;244,8;233,7;155,7;78,9;50,5;39,7;39,2;26,5;-176,7
60;-37,2971;-9,53686; Olho d'Água das Flores;41,1;39,8;58,7;61,4;83,1;91,8;90,8;53,6;28,5;19,4;16,5;24,1;6,9;-76,2
61;-37,8301;-9,50357; Olho d'Água do Casado;44,9;43,7;66,0;54,8;67,0;74,8;77,4;42,0;21,8;16,5;16,0;30,7;4,4;-62,6
62;-36,8101;-10,0572; Olho d'Água Grande;39,1;39,4;61,7;101,9;139,6;139,3;129,2;79,2;48,3;36,4;22,3;21,0;31,9;-107,7
63;-37,1954;-9,51954; Olivença;40,5;40,7;59,3;65,2;87,9;97,5;94,7;56,3;29,8;20,4;16,6;24,0;7,8;-80,1
64;-37,3556;-9,15884; Ouro Branco;44,9;49,4;67,9;65,5;74,1;83,0;85,0;49,1;23,5;16,4;17,4;30,0;5,4;-68,7
65;-37,339;-9,67493; Palestina;40,8;37,4;57,7;60,1;82,9;90,5;88,9;52,6;29,0;19,7;16,7;22,4;8,7;-74,2
66;-36,6328;-9,40568; Palmeira dos Índios;40,2;46,2;66,3;97,9;121,7;151,5;142,3;92,6;49,5;29,9;17,7;25,4;13,5;-108,2
67;-37,4403;-9,74032; Pão de Açúcar;41,7;37,4;57,8;58,1;79,0;86,3;85,3;50,4;27,7;19,1;16,6;23,0;9,2;-69,8
